place_names,Latitude,Longitude
Marz-O-Rin,18.5165106,73.8790851
Aurora Towers,18.5181549,73.878853
West End,18.5185312,73.8779625
Kwality,18.5150767,73.8799074
Sheetal Arch,18.5124763,73.880839
Sardar Patel Cantonment General Hospital,18.5027163,73.87712
Narayan Peth,18.5155793,73.8510765
Appa Balwant Chowk,18.5164569,73.8538574
Hutatma Chowk,18.516866,73.8562542
Pandit Gagabhatta Chowk,18.5187768,73.8584904
Sonya Maruti Chowk,18.5159957,73.8593601
Sigree,18.5395737,73.8750368
Collector Kacheri,18.5244565,73.8721359
Collector Kacheri,18.5244012,73.8716998
Pune General Post Office,18.5229317,73.8756503
Inox,18.5268449,73.8778583
Flags,18.5272989,73.877989
Coffee House,18.5187719,73.8772441
Ram Krishna,18.5191213,73.8785611
Starbucks,18.5392674,73.8866937
Gurudwara,18.5126006,73.8857872
Fatima Nagar,18.5045098,73.902129
Hinjawadi Phase 1,18.5916843,73.7347816
Krishna Hatti Chowk,18.5087616,73.860695
Ganpati Chowk,18.5150076,73.8549798
Raviraj,18.5178872,73.8363021
Deccan Gymkhana,18.5158926,73.84116
Khadki,18.5641718,73.8404533
Dr. Babasaheb Ambedkar Cantonment General Hospital,18.569025,73.8486994
Kedari Petrol Pump,18.4865476,73.8986607
Trinco,18.5265172,73.8872945
Cafe Code Red,18.5262952,73.8871613
Ghorpuri,18.5268544,73.9000956
Pune Railway Station Bus Terminus,18.5278721,73.872255
National War Memorial Southern Command,18.5230742,73.8896575
Command Hospital Southern Command,18.5005828,73.8894328
Shanipar Chowk,18.5133364,73.8538452
Sambhaji Police Chowki,18.5131785,73.8438921
Swargate PMPML Depot,18.5005006,73.8613881
Budhwar Peth,18.5175599,73.858037
Prego,18.5393141,73.9061183
Kangan,18.5399703,73.9061077
Gultekdi,18.4938936,73.8676329
Somatne Phata,18.7028039,73.6877502
Akurdi Village BS,18.649813,73.7791926
Pimpri,18.6134238,73.8029195
Chinchwad,18.6315806,73.7854601
Nigdi,18.6607674,73.7778262
Punawale,18.6382904,73.7461948
Kasarwadi,18.6080927,73.8208678
Kasarwadi,18.6012765,73.8236984
Shiv Darshan Chowk,18.4925128,73.8541317
Rajwada,18.5494,73.8042565
Up and Above,18.5064267,73.7839701
Symbiosis Nursery School,18.533081,73.8377434
Monginis,18.5300262,73.8366561
Model Colony,18.5314302,73.8374513
Pashan,18.5386704,73.7952542
Bavdhan,18.5209541,73.7780873
Nal Stop,18.5086644,73.8310019
Paud Phata,18.5061568,73.8256238
STPI,18.589553,73.7335836
Gold Coast Visitor Parking,18.5517641,73.8012027
Dahanukar Colony (Ram Mandir),18.4956415,73.8102718
Kumbare Park,18.5031794,73.7981352
Ishwar Medical,18.5538796,73.8050612
Chitale,18.5575921,73.8055225
Ambedkar Chowk,18.56025,73.8031083
Croma,18.5536864,73.80681
"Shivaji Commercial Complex (Mahada Complex), Nr Housingbord bus stop, Pune-411006.",18.5751841,73.8995588
Kekan Petrol Pump (HP),18.5751028,73.8970804
Indian Oil,18.5736645,73.8849523
Grubshup,18.5108517,73.8298928
Kalyan Bhel,18.5118996,73.8302361
Shivajinagar,18.5325915,73.8513115
Bank of Baroda,18.5544482,73.7987406
Kekan Gas Agency,18.5747728,73.8952354
Sassoon Hospital,18.5251434,73.8695664
BJ Medical College,18.5268345,73.8719155
McDonald's,18.5269924,73.8779918
Blue Nile,18.5217526,73.8774667
George,18.5173226,73.8794126
Sagar Plaza,18.5201845,73.8766107
Kayani Bakery,18.514857,73.8800072
Aamby Valley Airfield,18.6101404,73.3783327
Thakurwadi,18.7819229,73.4072636
Surya Resort,18.7544192,73.4073969
Tungarli,18.765736,73.4073758
Rajmachi Fort,18.8296834,73.3974108
विसापूर,18.7217644,73.4927555
लोहगड,18.7096619,73.4768924
Mahesh Lunch Home,18.5208896,73.8725539
Pune Railway Station Bus Depot,18.5265124,73.877173
Yo! China,18.519486,73.8772595
KFC,18.521763,73.8763897
Barista Lavazza,18.5181975,73.8793295
Airport Car Parking,18.5784277,73.9093571
Toit brewery and Resturant,18.5540074,73.9051438
Rajdhani,18.5452508,73.9063531
Wills Lifestyle,18.5175668,73.8795011
Shriwardhan Ballekilla,18.8267625,73.3999
Manaranjan Fort,18.8298242,73.3954689
"Birlasoft, SDB 1",18.5934565,73.734301
Balewadi Phata,18.563542,73.7829187
Hotel Mahableshwar,18.5552434,73.7983529
Symbiosis School and College,18.5221551,73.8299466
Pastry Corner,18.5088106,73.8303995
Paud Phata,18.5054496,73.8243601
Sanjeevani Vitalife Medipoint Hospital,18.5649263,73.8022626
LifeLine Hospital,18.5597445,73.8062674
Nutty Nattu's Venkateshwara Classes,18.5576024,73.8057227
Clarion Park,18.5586194,73.8043281
Iceberg,18.5315199,73.8317233
Funky's Stuff,18.5168375,73.8787061
Zamu's Place,18.5365716,73.8757543
Bajaj Motorbikes,18.5331501,73.8778809
Harileela Apartments,18.5650015,73.7834176
Sadanand Resorts,18.5683679,73.7666377
Baner Post Office,18.5699952,73.7663802
Elite Empire,18.574226,73.780274
Balewadi Gaon,18.5762113,73.7797577
Mantri Lawns,18.5598879,73.8070055
Dr. Chowdhary,18.5547291,73.8082012
Dr. Bonagiri,18.5554816,73.8088556
Spicer Health Foods,18.5630488,73.8195308
Khadki Fish Market,18.5618077,73.8376836
Baner Phata,18.5499129,73.809553
Baner Phata Bus Stop,18.5499281,73.8094135
Sanskriti Prangan,18.5662214,73.7822591
Khandala,18.7559917,73.3746932
Picnic spot,18.69189,73.4780218
Boat Club,18.6850909,73.4845771
Kusgaon,18.7602923,73.4299695
Sai Hotel,18.709118,73.47936
Hanuman Darwaza,18.7073091,73.477571
Ganesh Darwaza,18.70711,73.4777301
Narayan Darwaza,18.7075259,73.4776491
Maha Darwaza,18.7073999,73.477573
Darwaza,18.7069821,73.4777051
Chung Fa,18.5169144,73.8794546
Mayur Thali,18.5166042,73.8795245
Datta nagar Chowk,18.4497616,73.8497146
Jhavan,18.6210326,73.5073338
Tikona peak,18.6319782,73.5124988
Tikona Peth,18.6424943,73.5073658
Satvahan caves,18.6320383,73.5137676
Kale Colony,18.6852861,73.5004004
Kolvan,18.5818209,73.5335824
Chinmaya Vibhooti,18.5803152,73.5400747
Hotale,18.5737055,73.5464141
Velvett Country,18.7542281,73.3676302
Shree Sakthi Hospital,18.5883392,73.8015444
Ram Dev Store,18.543612,73.7858854
Lokseva CBSE School,18.5463629,73.7838017
Ishwar Drug House,18.5434538,73.7845372
Metro Chemists,18.543525,73.7843119
Hotel Parichay,18.5435148,73.7841772
Hotel Prasanna,18.5435326,73.7844503
Sai Chowk,18.5435299,73.7858079
Sutar Junction,18.5394331,73.7813345
City Pride Multiplex,18.4886957,73.857908
Karva Hospital,18.5009733,73.8461063
Dandekar Bridge,18.5011157,73.8466642
Pandavnagar,18.544023,73.7826234
Dhanashree Supermarket,18.5440332,73.782124
Baner Hill,18.5493274,73.7864383
Sri Krishna Temple,18.6579448,73.7701877
Gayatri Pure Veg,18.6584092,73.7689483
Dakshinmukhi Maruti Mandir,18.6569893,73.7680848
Kendriya Vidyalaya No. 2 Dehu Road,18.6730544,73.7459281
Mahatma Gandhi Marathi Vidyalaya,18.6770184,73.734105
Sindhunagar Corner,18.6558102,73.7686947
Ayurvedic Hospital,18.6548547,73.7696807
Kirti Vidyalaya High School,18.6571621,73.7663392
Big India,18.657955,73.7651757
Pradhikaran Corner,18.6589999,73.7776887
Ashapura Stationery,18.5442452,73.7829196
Panchavati,18.5390016,73.8096596
NCL,18.5394695,73.8117625
IMD Colony,18.5378421,73.8048526
Pashan,18.5369875,73.7960554
Vetal Tekdi,18.5255177,73.8154752
Sutarwadi Hill,18.5386986,73.7772259
Jeevan Deep Medicare Centre,18.5433023,73.7838607
Dr. Rangappa's Ayurvedic Clinic,18.5437305,73.7852375
Sai Dabeli Centre,18.5433033,73.7849183
Dr. Mane's Dental Clinic,18.5424578,73.7907722
VitaLife Clinic,18.5424692,73.7907426
Lavale,18.5230232,73.7224013
Pointy Hill,18.5356374,73.7562616
Sinhagad,18.3651861,73.7549869
Rajgad,18.2452367,73.6828893
Torna,18.275721,73.6226361
Narayanpur,18.3015431,73.9748183
Shri Narayaneshwar Temple,18.3013691,73.9749648
Sri Venkateshwara Temple,18.2588066,73.9311495
Kalyan Gaon,18.3500438,73.7647832
Gunjavane,18.2538485,73.7051594
Lavasa,18.4045968,73.5041748
Dasve,18.4010343,73.5004245
Karla Caves,18.7837433,73.4703235
The Gordon House,18.5380015,73.8357003
Mafatlal Bungalow / Reserve Bank,18.535569,73.8376961
E-Square,18.5378018,73.8350343
PMC Mangala,18.5239213,73.854079
Shivanjali Restaurant and Bar,18.5425963,73.7887912
Pashan Hill,18.5484989,73.780443
Wonder Funkey,18.4990996,73.7892771
Shri Swami Samarth Temple,18.5454777,73.7855067
Malavli,18.7441899,73.4811334
Sutarwadi,18.5386289,73.7814207
Sai Chowk Rickshaw Stand,18.5434974,73.7856128
Duke's Nose,18.7440711,73.3603707
Sri Balaji Temple,18.5416824,73.7897361
Balaji Square (Chowk),18.5425803,73.7899835
Vishwakarma Nagar,18.5429523,73.7876496
Abhinav College,18.5447222,73.7795815
Durga Tekdi,18.6700301,73.7578452
Dr. Nitin Joglekar's Clinic,18.5435561,73.7843869
Anand Hospital,18.6539354,73.7646919
Bhavani mandir,18.5132045,73.8130867
Hotel Kinara,18.507489,73.8063898
Sahyadri Hospital,18.5074625,73.8057842
"Krishna Hospital, Pune",18.5092055,73.8128199
Pratik Nagar,18.5081499,73.8093982
Pratik Paav Bhaji,18.507835,73.8090612
Rahul Medicals,18.5117315,73.8088896
New India School,18.5114263,73.7949421
Kothrud Depot,18.5078508,73.7950431
State Transport Bus stop,18.5068404,73.8025744
Dashabhuja Mandir,18.5057991,73.8258505
Lake Pavna Club Mahindra,18.6623126,73.4723624
Hanuman cave,18.659417,73.4610129
Cave4,18.6595591,73.4620249
Hanuman gate,18.660417,73.4608639
Gate arch,18.660302,73.460962
Udhewadi,18.8258246,73.3946856
Shrivardhan,18.8274549,73.4000059
3 Large Cave Rooms,18.8276899,73.3994589
Korighad,18.6248511,73.3847519
Dehu Road,18.6803339,73.7344033
Rajgurunagar Bus Stop,18.8541084,73.8883572
Kamshet,18.7669543,73.5524238
Kusgaon,18.7604749,73.4281171
Hindustan Petroleum,18.7498412,73.5174258
Tung,18.659839,73.463603
Hanuman Gate,18.6604188,73.4608551
Peth Shahpur,18.6302145,73.3835234
Captans,18.7857621,73.406519
Upper Deck Resort,18.7861437,73.4042444
Fast Food,18.7117934,73.6526477
Food Court,18.7497964,73.5186464
गोकुळ,18.588516,73.7830226
गणपती चौक,18.5877575,73.7836471
Juni Sangvi,18.574108,73.8203773
Tech Mahindra Cafe,18.5813012,73.6889905
Bank of Baroda,18.5407412,73.8364777
Cosmos Bank Pashan Branch,18.5373285,73.7935948
IDBI Bank,18.5424407,73.7908082
Union Bank of India,18.544249,73.7830649
State Bank of India Pashan Branch,18.5436126,73.7866204
Hutchings High School,18.500656,73.881898
Acharya Aurveda Foundation,18.742512,73.63955
Lotus gate,18.8287868,73.3958293
Manranjan,18.8315698,73.3949891
Vishal Mega Mart,18.5036855,73.900788
Krushna Nagar,18.4739189,73.9178308
McDonald's,18.4910236,73.9002012
Atlantis,18.4909464,73.9002064
Kendriya Vidyalaya,18.4869487,73.8816048
Thergaon,18.609275,73.7729374
Nal Stop,18.5089079,73.8319633
Warje,18.4820444,73.8001705
Kondhwa Budruk,18.4576183,73.8865816
Sharad Nagar,18.5367118,73.9461812
Bhosari,18.6210093,73.8501298
Ganesh Nagar,18.5927116,73.8625967
Lohgaon,18.5957701,73.9245544
Dhanori,18.5906707,73.8913189
Wisdom World School,18.5982042,73.7804493
Mhalunge,18.5733175,73.7558142
Wakad,18.6022495,73.7644454
Shivajinagar,18.5294586,73.8478247
Yerawada,18.5656319,73.8865762
Saint Mary's High School,18.5092631,73.8839949
Somwar Peth,18.5220747,73.8652393
Datta Mandir Chowk,18.5651755,73.9140006
United Colors of Benetton,18.5193591,73.877041
Pizza Hut,18.5191455,73.8775238
Westside,18.5191993,73.8777121
Kalewadi Phata,18.6039604,73.777045
Dange Chowk,18.6156694,73.765352
Laxmi chowk,18.5996628,73.734627
Wipro Phase-2,18.5972505,73.7185736
Judicial Canteen,18.5243164,73.873222
Durga Cafe,18.4850121,73.8161195
ICICI Bank ATM,18.5097727,73.8141239
Hotel Palavi,18.5098693,73.8144673
Hotel Durga,18.5103221,73.8163126
Bank of Baroda,18.5101644,73.8203842
Dev Krupa Petrol Pump,18.6678408,73.8905684
Dehu Phata,18.671332,73.891951
MIT Institite Of Design,18.6750066,73.8919095
Red rose coffee,18.6678002,73.8899675
"Suncity Road Fire Station, Pune",18.4754767,73.815447
Sun City,18.4748763,73.8136551
Madhukar General Hospital,18.4789234,73.8241232
Siddhivinayak Medico,18.4745969,73.8139227
HDFC Bank,18.4779601,73.8240347
Sanskar,18.4727647,73.8146186
Dr. Mudgerikar Clinic,18.477378,73.819076
Dr. Bodhe Clinic,18.4745186,73.8132288
Dr. Naik Clinic,18.4745644,73.8140764
Bank of Maharashtra,18.4788316,73.8240413
Sarswat Bank,18.4769185,73.8181727
Grande View 7 Township,18.4563154,73.8335752
Reliance Smart,18.5509546,73.9376534
Manas Microsystems Pvt. Ltd.,18.6278783,73.8369404
Motega Technologies Pvt. Ltd.,18.5326058,73.8749778
Shatrunjay Temple,18.4515076,73.878051
Chande,18.555014,73.7054311
Sus Gaon,18.5541586,73.753904
Nande,18.5582929,73.714634
Papillon Place,18.5409296,73.7795997
Bhimashankar,19.0617704,73.5322986
Utsav Apartments,18.5134566,73.8381166
Shopper's Stop,18.5214834,73.8769313
Bhumkar Chowk,18.6055586,73.7525133
Shivapur Toll Plaza,18.3314102,73.8524008
Anand Magal Karyalaya,18.5010303,73.8551825
Sandvik Asia,18.592798,73.8292822
Sai Service Maruti,18.5888524,73.8304943
Sai Service Bajaj,18.588573,73.8305747
Sinhagad Parking,18.3645771,73.7612647
Tarkeshwar Shiva Temple,18.5458144,73.88207
Baramati,18.1537178,74.5782004
Chhatrapati Sambhaji Chowk,18.1451312,74.5675312
Gunawadi Chowk,18.1457856,74.5728145
Indapur Chowk,18.1462392,74.5742212
Maladgaon,18.373481,74.5925184
Medical Shop,18.6590075,73.797746
Chaphekar Chowk,18.6300865,73.7798966
Ajmera,18.6337118,73.8140685
Aztecsoft,18.5933986,73.7329463
Jagtap Dairy Chowk,18.5926928,73.7850851
Wipro Phase 1,18.5873004,73.7326382
Coffee Street,18.648371,73.7657394
More Wasti,18.6713079,73.7973278
Sudershan Nagar,18.6697019,73.7992321
Symphony,18.5566,73.7930747
Shivar Garden,18.5950013,73.7875593
Pimple Nilakh,18.5696793,73.7940824
lib,18.5748417,73.8922142
Sadal Baba,18.5436996,73.8782389
Church,18.5582809,73.8547057
Garware Mahavidyalay,18.5123529,73.838844
Symbiosis Viswabhavan Boys Hostel,18.5228082,73.830083
Cosmos,18.5110894,73.9310821
Monginis,18.5094611,73.9283293
Cafe Coffee Day,18.5124268,73.9285386
HDFC Bank,18.5099291,73.9285868
Global Punjab,18.5096188,73.9283508
Punjab National Bank,18.5094711,73.9286247
Darshan,18.5140762,73.8409178
International Book Service,18.5149568,73.8421182
Chitale Bandhu Mithaiwale,18.5155309,73.8418354
Regal Bakery,18.5141066,73.8407679
ICICI Bank,18.5188204,73.830977
Pharmacy,18.516684,73.833895
Apollo Pharmacy,18.517157,73.8339486
Vet Care Pet Clinic,18.5176759,73.8345121
The Four Fountains Spa,18.5167705,73.8365345
Kotak Mahindra Bank,18.5179556,73.8375148
Balbhim Mandir,18.5163177,73.8369583
Shubham Medical,18.5134285,73.8376342
Oriental Bank of Commerce,18.5138354,73.8376342
Cafe Good Luck,18.5172995,73.8414591
Archie's Gallery,18.5176606,73.8420223
IDBI Bank,18.5179442,73.8424957
Deccan Gymkhana Police Chowki,18.5141406,73.8403808
Deccan Gymkhana Post Office,18.5151122,73.8418668
Vegetable Market,18.5146798,73.8418077
R Deccan Multiplex,18.51645,73.8423388
HP,18.517035,73.8419687
BSNL telephone exchange,18.529619,73.8387986
P.G.HOSTEL,18.4594674,73.8558809
Honda Shop,18.4711224,73.8564785
Bharat Petroleum,18.4686347,73.8580494
Indian Oil,18.5010323,73.8463028
Datta Mandir,18.5103044,73.7902194
Cafe Cofee Day,18.5086466,73.789635
Punjab Canteen,18.4965595,73.802295
Nancy Lake Homes Swimming Pool,18.4586542,73.8603581
Nancy Lake Homes Club House,18.4586694,73.8601059
Bharati Vidyapeeth Police Station,18.4590242,73.8576127
KK Market,18.4694397,73.8601477
Woodland Resturant,18.4747312,73.8560171
D-Mart Store,18.4792277,73.8569481
Mobile tower,18.5122765,73.8083735
P N Gadgil,18.5102418,73.8190027
Ganesh Temple,18.5102723,73.8091406
Pimpri-Chinchwad,18.6279288,73.8009829
Nira,18.1054456,74.208078
Tiger Trail,18.5464794,73.9065617
Green Tokri Farm,18.348969,73.9584765
Monkey Hill Cabin,18.7831347,73.3662152
Hindustan Petroleum (HP),18.5939372,73.7355357
McDonald's,18.5938762,73.7356779
IISER New Hall Of Residence,18.5450718,73.8079385
Guruwar Peth,18.5113589,73.8576197
Loni Kalbhor,18.488353,74.0221934
Shukrawar Peth,18.5113537,73.8540109
Manapa Bhavan,18.5230248,73.8534229
Erandwane,18.5087486,73.8318432
Punjabi Dhaba,18.5651701,73.9113565
Diamond Super Market,18.5698664,73.9109165
Hotel Executive Residency,18.5411401,73.8877559
Gypsy Tents,18.5095196,73.8722916
Kunal Icon,18.592846,73.7911062
IDBI Bank,18.5743476,73.8844315
Sarvaha Systems,18.5538896,73.8050756
Ganesh Super Shopee,18.4628604,73.8047957
Rajyog C Play area,18.4624942,73.8041016
Car Parking DP Road,18.462484,73.8052603
Pushpak General Store,18.6008347,73.7639913
CoEP Boat Club,18.5307702,73.8561419
CoEP Department of Mathematics,18.5306945,73.8568225
CoEP Mechanical Drawing Hall,18.53011,73.8569923
CoEP Training & Placement Cell,18.5291329,73.8567758
Vetal Buva Chowk,18.4477854,73.8293876
Shree Controls Chowk,18.444714,73.8216506
Ambegaon,18.451118,73.8375551
Pimple Saudagar Police Statiom,18.6015562,73.7993609
Subway,18.596572,73.789165
Domino's,18.5957803,73.7882522
Indian Oil,18.4923892,73.8340688
One way Food,18.4922841,73.8337744
Pruthvi Vegetarianism,18.4945107,73.8134701
Basuri,18.4800904,73.8569229
Khooshabu,18.4633503,73.8583829
Shamli,18.5050823,73.9279049
Bashri,18.5032866,73.9277976
Abhiruchi City Pride,18.462949,73.8165301
Cosmos Co-operative Bank Ltd Branch,18.4961399,73.8033154
Cosmos Bank,18.496028,73.8017624
Podar International School,18.6247358,73.7865421
Oam Ganesh Temple,18.6194568,73.7826667
Abhishek Veg,18.5037935,73.8306467
Meghdoot,18.4807993,73.8752608
Panchami,18.4926639,73.8574632
Smokin' Joe's,18.4919816,73.8574616
parmar Tailer,18.6429311,73.7717557
ICICI Bank,18.4889832,73.8563144
Vedant,18.4887519,73.8571728
Coffee Shop,18.5408028,73.585282
ICICI Bank,18.554455,73.8096544
Shewale Hospital,18.5626652,73.8325327
Shewale,18.5625343,73.832473
Ganesh Temple,18.561802,73.8368568
Indraprasta Karyalay,18.5387294,73.830199
"Oasis Restaurant, Bar and Banquets",18.4977614,73.7876344
Keshav Nagar,18.5322658,73.9383844
Thugaon,18.6952853,73.562942
Kamshet,18.7629201,73.5576474
shitai hotel,18.6768318,73.8773743
Bank of Maharashtra,18.4539825,73.8207209
Girija Complex,18.446034,73.8090796
JK Hill Park Bus Stop,18.4513059,73.8110435
Ganesh Complex,18.4453338,73.809918
Trimurti Hospital,18.462396,73.8150518
Pirangut,18.5112818,73.6790069
Sun Medico,18.4747326,73.8132241
Dadimata Shop,18.4744681,73.8156488
Tupperware @ Masurkar,18.4752211,73.8134065
Reliance Mart,18.5631428,73.8071709
Pesto Pesto,18.5381475,73.9068979
"B1, Sneha Vihar",18.4659508,73.790838
कृष्णमाला,18.1785058,74.6056388
Junnar,19.2094471,73.8771937
Human Cloud Business Solutions,18.16133,74.5890758
Varadshree Karyalay,18.5104607,73.8538907
Vasant Avenue,18.5992139,73.7938385
Deepmala,18.5976303,73.7913137
Namah,18.6003507,73.7757061
Dominoz Bharati Vidyapeeth,18.4586483,73.8584426
Kharadi,18.5512763,73.9416575
Zensar Technologies,18.5481893,73.9428636
Gulmohar Privilege,18.5519985,73.9442798
ICICI Bank,18.5404542,73.8852292
Bread Story,18.5446577,73.9056381
Malaka Spice,18.5374326,73.8973367
New swimming center,18.4773901,73.8187812
Dorabjee's - Viman Nagar,18.5685148,73.9074459
Great Kebab Factory,18.5532327,73.9378665
mahalaxmi bus stop,18.5707917,73.8792033
Marrakesh,18.5487745,73.9056726
Screen-Magic Mobile Media Pvt Ltd.,18.5405299,73.8191862
Abhiman Hotel,18.5405197,73.8192184
Indian Oil,18.4576966,73.829066
Rajmudra Petroleum,18.6124229,73.7175038
Samrat Chowk,18.6045395,73.7647902
Shankar Maharaj Vasahat,18.4711153,73.8556149
Swami Vivekanand Chowk,18.5226744,73.8409165
One Way Foods,18.4956381,73.8107689
Boudh Vihor Temple,18.4705278,73.8558611
Khandale Scrap Store,18.4706911,73.8558424
Kirane Store,18.4701944,73.8555833
Kolpana Flour Mill,18.4704722,73.8557778
